Player,Style
Jermaine Taylor,Offensive
Chase Budinger,Offensive
Diamon Simpson,Defensive
John Wall,Offensive
Cole Aldrich,Defensive
Patrick Patterson,Balanced
James Anderson,Offensive
Marqus Blakely,Defensive
Courtney Fortson,Offensive
Donatas Motiejūnas,Offensive
Andrew Goudelock,Offensive
Royce White,Offensive
Terrence Jones,Balanced
Pablo Prigioni,Offensive
Alexey Shved,Offensive
Tim Ohlbrecht,Defensive
Ben McLemore,Offensive
Robert Covington,Defensive
Victor Oladipo,Balanced
Tyler Ennis,Offensive
Nick Johnson,Offensive
Bruno Caboclo,Defensive
Tarik Black,Defensive
Michael Frazier II,Offensive
Zhou Qi,Defensive
Chinanu Onuaku,Defensive
Troy Williams,Offensive
Kyle Wiltjer,Offensive
Tim Quarterman,Offensive
Fred VanVleet,Balanced
Danuel House Jr.,Offensive
Justin Patton,Defensive
D.J. Wilson,Defensive
Dillon Brooks,Offensive
Aaron Jackson,Offensive
Vincent Edwards,Offensive
Jock Landale,Balanced
Cam Reynolds,Offensive
DaQuan Jeffries,Defensive
William Howard,Offensive
Mason Jones,Offensive
Jalen Green,Offensive
Daishen Nix,Offensive
Kenyon Martin Jr.,Balanced
Trevelin Queen,Offensive
Jae'Sean Tate,Balanced
Josh Christopher,Offensive
Alperen Sengun,Balanced
DeJon Jarreau,Defensive
Darius Days,Offensive
Jabari Smith Jr.,Balanced
TyTy Washington Jr.,Offensive
Tari Eason,Defensive
Jermaine Samuels Jr.,Defensive
Trevor Hudgins,Offensive
Nate Williams,Defensive
Amen Thompson,Balanced
Cam Whitmore,Offensive
James Posey,Defensive
Jeff Foster,Defensive
T.J. Ford,Offensive
Danny Granger,Offensive
Solomon Jones,Defensive
Kyrylo Fesenko,Defensive
Tyreke Evans,Offensive
Jeff Ayres,Defensive
Sam Young,Defensive
Paul George,Balanced
Kevin Seraphin,Defensive
Lavoy Allen,Defensive
Orlando Johnson,Offensive
Kyle O'Quinn,Defensive
Chris Copeland,Offensive
Ben Hansbrough,Offensive
Trey McKinney-Jones,Defensive
Shayne Whittington,Defensive
Damjan Rudez,Offensive
T.J. McConnell,Defensive
Myles Turner,Defensive
Rakeem Christmas,Defensive
Joe Young,Offensive
Keifer Sykes,Offensive
Domantas Sabonis,Balanced
Buddy Hield,Offensive
Pascal Siakam,Balanced
Gabe York,Offensive
Ike Anigbogu,Defensive
T.J. Leaf,Offensive
Ben Moore,Defensive
Naz Mitrou-Long,Offensive
Amida Brimah,Defensive
Brian Bowen II,Defensive
Goga Bitadze,Defensive
Andrew Nembhard,Balanced
Jalen Lecque,Offensive
Jordan Nwora,Offensive
Ahmad Caver,Offensive
Obi Toppin,Offensive
Tyrese Haliburton,Balanced
Jalen Smith,Balanced
Chris Duarte,Balanced
Isaiah Jackson,Defensive
Duane Washington Jr.,Offensive
Bennedict Mathurin,Offensive
Kendall Brown,Defensive
Oscar Tshiebwe,Defensive
Isaiah Wong,Offensive
Quenton Jackson,Offensive
Jarace Walker,Balanced
Ben Sheppard,Offensive
Grant Hill,Balanced
Hedo Turkoglu,Balanced
Bobby Simmons,Defensive
Jarron Collins,Defensive
Brian Cook,Offensive
Ike Diogu,Offensive
Ronny Turiaf,Defensive
Ryan Gomes,Offensive
Marcin Gortat,Defensive
Craig Smith,Balanced
Serge Ibaka,Defensive
Wesley Johnson,Defensive
Eric Bledsoe,Offensive
Willie Warren,Offensive
Kawhi Leonard,Balanced
Trey Thompkins,Offensive
Travis Leslie,Defensive
Maurice Harkless,Defensive
Maalik Wayns,Offensive
C.J. Williams,Defensive
C.J. Wilcox,Offensive
Jamil Wilson,Offensive
Justise Winslow,Defensive
Norman Powell,Offensive
Branden Dawson,Defensive
Alex Stepheson,Defensive
Diamond Stone,Defensive
Ivica Zubac,Defensive
Jawun Evans,Offensive
Sindarius Thornwell,Defensive
Milos Teodosic,Offensive
Shai Gilgeous-Alexander,Balanced
Angel Delgado,Defensive
Amir Coffey,Offensive
Terance Mann,Balanced
Xavier Moon,Offensive
Daniel Oturu,Defensive
Jay Scrubb,Offensive
KJ Martin,Balanced
Brandon Boston Jr.,Offensive
Jason Preston,Offensive
Joshua Primo,Offensive
Moussa Diabate,Defensive
Kobe Brown,Balanced
Jordan Miller,Offensive
Theo Ratliff,Defensive
Steve Nash,Offensive
Kobe Bryant,Offensive
Metta World Peace,Defensive
Jason Kapono,Offensive
Chris Duhon,Defensive
Ronnie Price,Defensive
Shannon Brown,Offensive
Marc Gasol,Balanced
Trey Johnson,Offensive
Andre Ingram,Offensive
Xavier Henry,Offensive
Devin Ebanks,Defensive
Derrick Caracter,Defensive
Anthony Davis,Balanced
Kendall Marshall,Offensive
Darius Johnson-Odom,Offensive
Robert Sacre,Defensive
Elias Harris,Defensive
Jabari Brown,Offensive
Julius Randle,Balanced
Travis Wear,Defensive
Anthony Brown,Defensive
Marcelo Huertas,Offensive
Brandon Ingram,Balanced
Kyle Kuzma,Offensive
Josh Hart,Balanced
Nigel Hayes,Defensive
Mo Bamba,Defensive
Rui Hachimura,Balanced
Isaac Bonga,Defensive
Kendrick Nunn,Offensive
Johnathan Williams,Defensive
Jemerrio Jones,Defensive
Gabe Vincent,Balanced
Jaxson Hayes,Defensive
Talen Horton-Tucker,Offensive
Devontae Cacok,Defensive
Austin Reaves,Balanced
Scotty Pippen Jr.,Offensive
Colin Castleton,Defensive
Max Christie,Offensive
Cole Swider,Offensive
Jalen Hood-Schifino,Balanced
Maxwell Lewis,Offensive
D'Moi Hodge,Defensive
Jason Williams,Offensive
Brian Skinner,Defensive
Zach Randolph,Balanced
Gilbert Arenas,Offensive
Josh Davis,Defensive
Tony Allen,Defensive
Rudy Gay,Balanced
Mike Conley,Balanced
Mario Chalmers,Defensive
Hamed Haddadi,Defensive
Nick Calathes,Offensive
Hassan Whiteside,Defensive
Jonas Valančiūnas,Balanced
Josh Selby,Offensive
Tony Wroten,Offensive
DJ Stephens,Defensive
Steven Adams,Defensive
Russ Smith,Offensive
Jordan Adams,Offensive
Kyle Anderson,Balanced
Bryce Cotton,Offensive
Xavier Munford,Offensive
Omari Johnson,Defensive
Tyus Jones,Balanced
Jarell Martin,Defensive
Vincent Hunter,Defensive
Julian Washburn,Defensive
Myke Henry,Defensive
Ivan Rabb,Defensive
Xavier Rathan-Mayes,Offensive
Dusty Hannahs,Offensive
Grayson Allen,Balanced
Jaren Jackson Jr.,Defensive
De'Anthony Melton,Defensive
Jontay Porter,Defensive
Ja Morant,Offensive
Brandon Clarke,Balanced
Killian Tillie,Defensive
John Konchar,Defensive
Marko Guduric,Offensive
Dakota Mathias,Offensive
Shaq Buchanan,Defensive
Desmond Bane,Balanced
Sean McDermott,Offensive
Jon Teske,Defensive
Zavier Simpson,Defensive
Ziaire Williams,Balanced
Matt Hurt,Offensive
Yves Pons,Defensive
Santi Aldama,Balanced
Jordan Goodwin,Defensive
Kennedy Chandler,Offensive
Jake LaRavia,Balanced
David Roddy,Balanced
Vince Williams Jr.,Defensive
Kenneth Lofton Jr.,Offensive
GG Jackson,Offensive
Timmy Allen,Defensive
Maozinha Pereira,Defensive
Trey Jemison,Defensive
Juwan Howard,Balanced
Zydrunas Ilgauskas,Balanced
Rashard Lewis,Offensive
Jamaal Magloire,Defensive
Eddie House,Offensive
Roger Mason Jr.,Offensive
Chris Bosh,Balanced
Udonis Haslem,Defensive
Greg Oden,Defensive
Henry Walker,Offensive
Terrel Harris,Defensive
Norris Cole,Defensive
Meyers Leonard,Offensive
Zoran Dragic,Offensive
Okaro White,Defensive
Marcus Georges-Hunt,Defensive
Bam Adebayo,Balanced
Matt Williams Jr.,Offensive
Yante Maten,Offensive
Duncan Robinson,Offensive
Emanuel Terry,Defensive
Haywood Highsmith,Defensive
Zylan Cheatham,Defensive
Tyler Herro,Offensive
KZ Okpala,Defensive
Kyle Guy,Offensive
Aric Holman,Defensive
Kyle Alexander,Defensive
Precious Achiuwa,Balanced
Omer Yurtseven,Balanced
Marcus Garrett,Defensive
Javonte Smart,Offensive
Nikola Jovic,Balanced
Orlando Robinson,Defensive
Jamaree Bouyea,Offensive
Jaime Jaquez Jr.,Balanced
Jamal Cain,Defensive
Michael Redd,Offensive
Drew Gooden,Balanced
John Salmons,Offensive
Jason Smith,Defensive
Jon Brockman,Defensive
Darington Hobson,Offensive
Damian Lillard,Offensive
Doron Lamb,Offensive
Nate Wolters,Offensive
Shabazz Muhammad,Offensive
Giannis Antetokounmpo,Balanced
Miroslav Raduljica,Defensive
Thanasis Antetokounmpo,Defensive
Damien Inglis,Defensive
Joe Ingles,Balanced
Pat Connaughton,Balanced
Joel Bolomboy,Defensive
Marshall Plumlee,Defensive
Frank Mason III,Offensive
Trevon Duval,Offensive
Bonzie Colson,Defensive
Elijah Bryant,Offensive
Javin DeLaurier,Defensive
Lindell Wigginton,Offensive
Sandro Mamukelashvili,Balanced
Georgios Kalaitzakis,Offensive
MarJon Beauchamp,Balanced
AJ Green,Offensive
Andre Jackson Jr.,Balanced
Chris Livingston,Offensive
Jaylin Galloway,Defensive
Josh Howard,Balanced
Sebastian Telfair,Offensive
Martell Webster,Offensive
Mickael Gelabale,Defensive
Will Conroy,Defensive
Brandon Roy,Balanced
Maurice Ager,Offensive
Nikola Pekovic,Defensive
Othyus Jeffers,Defensive
Lazar Hayward,Offensive
Malcolm Lee,Defensive
Robbie Hummel,Offensive
Rudy Gobert,Defensive
Karl-Anthony Towns,Balanced
Jake Layman,Offensive
Amile Jefferson,Defensive
Josh Okogie,Defensive
Jared Terrell,Offensive
Jordan McLaughlin,Offensive
Nickeil Alexander-Walker,Balanced
Naz Reid,Offensive
Anthony Edwards,Offensive
Jaden McDaniels,Defensive
Leandro Bolmaro,Defensive
Ashton Hagans,Defensive
Wendell Moore Jr.,Defensive
Leonard Miller,Balanced
Josh Minott,Defensive
David Andersen,Offensive
Emeka Okafor,Defensive
DJ Mbenga,Defensive
Pops Mensah-Bonsu,Defensive
Aaron Gray,Defensive
Darryl Watkins,Defensive
Carldell Johnson,Offensive
Patrick Ewing,Balanced
Jerel McNeal,Offensive
Jerome Dyson,Offensive
Jeff Foote,Defensive
Darius Miller,Offensive
Hollis Thompson,Offensive
CJ McCollum,Offensive
Larry Drew II,Offensive
Elfrid Payton,Offensive
Patric Young,Defensive
Bryce Dejean-Jones,Offensive
Josh Gray,Offensive
Charles Cooke,Defensive
Kenrich Williams,Defensive
Trevon Bluiett,Offensive
Kaiser Gates,Offensive
Dairis Bertans,Offensive
Jared Harper,Offensive
Zion Williamson,Offensive
Miye Oni,Defensive
Didi Louzada,Defensive
Justin James,Offensive
Daulton Hommes,Offensive
Kira Lewis Jr.,Offensive
Naji Marshall,Defensive
Will Magnay,Defensive
Jeremiah Robinson-Earl,Defensive
Herbert Jones,Defensive
Trey Murphy III,Offensive
E.J. Liddell,Defensive
Jalen Crutcher,Offensive
Feron Hunt,Defensive
Jose Alvarado,Defensive
Dyson Daniels,Defensive
Izaiah Brockington,Offensive
Dereon Seabron,Offensive
Jordan Hawkins,Offensive
Rasheed Wallace,Balanced
Quentin Richardson,Offensive
James White,Offensive
Andy Rautins,Offensive
Landry Fields,Balanced
Toure' Murry,Defensive
Cleanthony Early,Offensive
Mario Hezonja,Offensive
Maurice Ndour,Defensive
Ron Baker,Defensive
Mindaugas Kuzminskas,Offensive
OG Anunoby,Defensive
Isaiah Hicks,Defensive
Billy Garrett,Offensive
Mitchell Robinson,Defensive
Allonzo Trier,Offensive
RJ Barrett,Offensive
Ignas Brazdeikis,Offensive
Tyler Hall,Offensive
Immanuel Quickley,Offensive
Miles McBride,Defensive
Jericho Sims,Defensive
Jacob Toppin,Defensive
Trevor Keels,Offensive
Dmytro Skapintsev,Defensive
Jaylen Martin,Offensive
Morris Peterson,Offensive
Nick Collison,Defensive
Royal Ivey,Defensive
Mustafa Shakur,Offensive
Eric Maynor,Offensive
Daniel Orton,Defensive
Ryan Reid,Defensive
Perry Jones III,Offensive
Grant Jerrett,Offensive
Alex Abrines,Offensive
Semaj Christon,Offensive
Mitch McGary,Defensive
Josh Huestis,Defensive
Richard Solomon,Defensive
Dakari Johnson,Defensive
Terrance Ferguson,Offensive
Melvin Frazier Jr.,Defensive
Devon Hall,Offensive
Kevin Hervey,Offensive
Donte Grantham,Defensive
Tyler Davis,Defensive
Deonte Burton,Offensive
Darius Bazley,Defensive
Luguentz Dort,Defensive
Jaylen Hoard,Defensive
Isaiah Joe,Offensive
Jared Butler,Offensive
Josh Hall,Offensive
Rob Edwards,Offensive
Lindy Waters III,Offensive
Gabriel Deck,Offensive
Josh Giddey,Balanced
Aaron Wiggins,Defensive
Olivier Sarr,Defensive
Chet Holmgren,Defensive
Jalen Williams,Balanced
Jaylin Williams,Defensive
Ousmane Dieng,Defensive
Cason Wallace,Defensive
Adam Flagler,Offensive
Keyontae Johnson,Offensive
Larry Hughes,Defensive
Malik Allen,Defensive
Jason Richardson,Offensive
Terrence Ross,Offensive
DeQuan Jones,Offensive
Adonis Thomas,Offensive
Jonathon Simmons,Defensive
Devyn Marble,Defensive
Khem Birch,Defensive
Keith Appling,Offensive
Stephen Zimmerman,Defensive
Patricio Garino,Defensive
Markelle Fultz,Offensive
Jonathan Isaac,Defensive
Jamel Artis,Offensive
Troy Caupain,Offensive
Isaiah Briscoe,Offensive
Rodney Purvis,Offensive
Robert Franks,Offensive
Chuma Okeke,Defensive
Admiral Schofield,Defensive
Vic Law,Defensive
Hassani Gravett,Offensive
Devin Cannady,Offensive
Cole Anthony,Offensive
Karim Mané,Defensive
Freddie Gillespie,Defensive
Kevon Harris,Offensive
Franz Wagner,Balanced
Jalen Suggs,Balanced
Aleem Ford,Offensive
Paolo Banchero,Balanced
Caleb Houstan,Offensive
Anthony Black,Balanced
Jett Howard,Offensive
Antonio Daniels,Balanced
Tony Battie,Defensive
Francisco Elson,Defensive
Darius Songaila,Offensive
Andrés Nocioni,Balanced
Sergio Rodríguez,Offensive
Sonny Weems,Offensive
Craig Brackins,Offensive
Arnett Moultrie,Offensive
Furkan Aldemir,Defensive
Casper Ware,Offensive
Joel Embiid,Balanced
Ronald Roberts Jr.,Defensive
Drew Gordon,Defensive
Jacob Pullen,Offensive
Furkan Korkmaz,Offensive
Shawn Long,Offensive
Jonah Bolden,Defensive
Myles Powell,Offensive
Marial Shayok,Offensive
Charles Bassey,Defensive
Matisse Thybulle,Defensive
Tyrese Maxey,Offensive
Paul Reed,Defensive
Filip Petrušev,Offensive
Aaron Henry,Defensive
Julian Champagnie,Offensive
Michael Foster Jr.,Offensive
Terquavion Smith,Offensive
Ricky Council IV,Offensive
Garret Siler,Defensive
Dionte Christmas,Offensive
Zabian Dowdell,Offensive
Gani Lawal,Defensive
Elijah Millsap,Defensive
Luke Zeller,Offensive
Bradley Beal,Offensive
Diante Garrett,Offensive
Devin Booker,Offensive
Paris Bass,Offensive
Alec Peters,Offensive
Udoka Azubuike,Defensive
Deandre Ayton,Balanced
Elie Okobo,Offensive
Drew Eubanks,Defensive
Nassir Little,Defensive
Tariq Owens,Defensive
Ty-Shon Alexander,Offensive
MJ Walker,Offensive
Ish Wainright,Defensive
Gabriel Lundberg,Offensive
Sean Marks,Defensive
Earl Watson,Offensive
Fabricio Oberto,Defensive
Joel Freeland,Defensive
Victor Claver,Defensive
Nolan Smith,Offensive
Cliff Alexander,Defensive
Skal Labissiere,Offensive
Georgios Papagiannis,Defensive
Zach Collins,Balanced
Caleb Swanigan,Defensive
Chance Comanche,Defensive
Anfernee Simons,Offensive
Gary Trent Jr.,Offensive
Jarron Cumberland,Offensive
CJ Elleby,Defensive
Keljin Blevins,Defensive
Elijah Hughes,Offensive
Ibou Badji,Defensive
Scoot Henderson,Offensive
Cameron McGriff,Defensive
Shaedon Sharpe,Offensive
Jabari Walker,Balanced
Kris Murray,Balanced
John Butler Jr.,Defensive
Justin Minaya,Defensive
Taze Moore,Defensive
Jeenathan Williams,Offensive
Rayan Rupert,Defensive
Toumani Camara,Defensive
Duop Reath,Defensive
Antoine Wright,Offensive
Luther Head,Offensive
Pooh Jeter,Offensive
Donte Greene,Balanced
Darnell Jackson,Defensive
Hamady Ndiaye,Defensive
Tyler Honeycutt,Defensive
Sim Bhullar,Defensive
Jack Cooley,Defensive
David Wear,Defensive
David Stockton,Offensive
Duje Dukan,Offensive
Malachi Richardson,Offensive
De'Aaron Fox,Offensive
Sasha Vezenkov,Offensive
Eric Mika,Defensive
Cody Demps,Defensive
Terence Davis,Offensive
Jahmi'us Ramsey,Offensive
Robert Woodard II,Defensive
Jordan Ford,Offensive
Ade Murkey,Defensive
Davion Mitchell,Defensive
Keegan Murray,Balanced
Keon Ellis,Defensive
Chima Moneke,Defensive
Colby Jones,Balanced
Jalen Slawson,Defensive
Antonio McDyess,Balanced
Tim Duncan,Balanced
Manu Ginobili,Balanced
Ime Udoka,Defensive
Matt Bonner,Balanced
Derrick Byars,Offensive
Eric Dawson,Defensive
Nando De Colo,Offensive
Brandon Paul,Offensive
Jakob Poeltl,Defensive
Matt Costello,Defensive
Nicolas Laprovittola,Offensive
Keldon Johnson,Balanced
Luka Samanic,Offensive
Devin Vassell,Balanced
Tre Jones,Defensive
Joe Wieskamp,Offensive
D.J. Stewart,Offensive
Malaki Branham,Offensive
Blake Wesley,Offensive
Jeremy Sochan,Defensive
Jordan Hall,Offensive
Dominick Barlow,Defensive
Sidy Cissoko,Defensive
Victor Wembanyama,Balanced
Charles Bediako,Defensive
Sir'Jabari Rice,Offensive
Marcus Banks,Defensive
Ronald Dupree,Defensive
Linas Kleiza,Offensive
Julian Wright,Balanced
Solomon Alabi,Defensive
Lucas Nogueira,Defensive
Malcolm Miller,Defensive
Jordan Loyd,Offensive
O.G. Anunoby,Balanced
Shamorie Ponds,Offensive
Dewan Hernandez,Defensive
Jalen Harris,Offensive
David Johnson,Offensive
Ochai Agbaji,Offensive
Scottie Barnes,Balanced
D.J. Carton,Offensive
Christian Koloko,Defensive
Ron Harper Jr.,Balanced
Javon Freeman-Liberty,Offensive
Mouhamadou Gueye,Defensive
Gradey Dick,Offensive
Markquis Nowell,Offensive
Malik Williams,Defensive
Raja Bell,Defensive
Jamaal Tinsley,Offensive
Blake Ahearn,Offensive
Kyle Weaver,Defensive
Tibor Pleiss,Defensive
Marcus Cousin,Defensive
Kevin Murphy,Offensive
Patrick Christopher,Offensive
Jerrelle Benimon,Balanced
JJ O'Brien,Defensive
Nigel Williams-Goss,Offensive
Erik McCree,Offensive
Justin Wright-Foreman,Offensive
Jarrell Brantley,Defensive
Stanton Kidd,Defensive
Johnny Juzang,Offensive
Walker Kessler,Defensive
Taylor Hendricks,Balanced
Keyonte George,Offensive
Brice Sensabaugh,Offensive
James Singleton,Defensive
Morris Almond,Offensive
Chris Singleton,Defensive
Edwin Ubiles,Offensive
Glen Rice,Offensive
Daniel Ochefu,Defensive
Anzejs Pasecniks,Defensive
Devin Robinson,Balanced
Mike Young,Offensive
Craig Sword,Defensive
Deni Avdija,Balanced
Cassius Winston,Offensive
Isaiah Todd,Offensive
Anthony Gill,Balanced
Joel Ayayi,Balanced
Corey Kispert,Offensive
Jordan Schakel,Offensive
Jamie Echenique,Defensive
Johnny Davis,Balanced
Patrick Baldwin Jr.,Balanced
Jules Bernard,Offensive
Xavier Cooks,Balanced
Bilal Coulibaly,Defensive
Tristan Vukcevic,Offensive
